PING 10.0.2.22 (10.0.2.22) 56(84) bytes of data.
64 bytes from 10.0.2.22: icmp_seq=470 ttl=63 time=2108 ms
64 bytes from 10.0.2.22: icmp_seq=471 ttl=63 time=2005 ms
64 bytes from 10.0.2.22: icmp_seq=472 ttl=63 time=1902 ms
64 bytes from 10.0.2.22: icmp_seq=473 ttl=63 time=1799 ms
64 bytes from 10.0.2.22: icmp_seq=474 ttl=63 time=1697 ms
64 bytes from 10.0.2.22: icmp_seq=475 ttl=63 time=1593 ms
64 bytes from 10.0.2.22: icmp_seq=476 ttl=63 time=1492 ms
64 bytes from 10.0.2.22: icmp_seq=477 ttl=63 time=1389 ms
64 bytes from 10.0.2.22: icmp_seq=478 ttl=63 time=1286 ms
64 bytes from 10.0.2.22: icmp_seq=479 ttl=63 time=1183 ms
64 bytes from 10.0.2.22: icmp_seq=480 ttl=63 time=1080 ms
64 bytes from 10.0.2.22: icmp_seq=481 ttl=63 time=978 ms
64 bytes from 10.0.2.22: icmp_seq=482 ttl=63 time=875 ms
64 bytes from 10.0.2.22: icmp_seq=483 ttl=63 time=771 ms
64 bytes from 10.0.2.22: icmp_seq=484 ttl=63 time=672 ms
64 bytes from 10.0.2.22: icmp_seq=485 ttl=63 time=573 ms
64 bytes from 10.0.2.22: icmp_seq=486 ttl=63 time=473 ms
64 bytes from 10.0.2.22: icmp_seq=487 ttl=63 time=373 ms
64 bytes from 10.0.2.22: icmp_seq=488 ttl=63 time=272 ms
64 bytes from 10.0.2.22: icmp_seq=489 ttl=63 time=173 ms
64 bytes from 10.0.2.22: icmp_seq=490 ttl=63 time=102 ms
64 bytes from 10.0.2.22: icmp_seq=491 ttl=63 time=108 ms
64 bytes from 10.0.2.22: icmp_seq=492 ttl=63 time=106 ms
64 bytes from 10.0.2.22: icmp_seq=493 ttl=63 time=99.1 ms
64 bytes from 10.0.2.22: icmp_seq=494 ttl=63 time=98.8 ms
64 bytes from 10.0.2.22: icmp_seq=495 ttl=63 time=104 ms
64 bytes from 10.0.2.22: icmp_seq=496 ttl=63 time=103 ms
64 bytes from 10.0.2.22: icmp_seq=497 ttl=63 time=100 ms
64 bytes from 10.0.2.22: icmp_seq=498 ttl=63 time=102 ms
64 bytes from 10.0.2.22: icmp_seq=499 ttl=63 time=102 ms
64 bytes from 10.0.2.22: icmp_seq=500 ttl=63 time=104 ms
64 bytes from 10.0.2.22: icmp_seq=501 ttl=63 time=99.1 ms
64 bytes from 10.0.2.22: icmp_seq=502 ttl=63 time=99.2 ms
64 bytes from 10.0.2.22: icmp_seq=503 ttl=63 time=100 ms
64 bytes from 10.0.2.22: icmp_seq=504 ttl=63 time=98.6 ms
64 bytes from 10.0.2.22: icmp_seq=505 ttl=63 time=101 ms
64 bytes from 10.0.2.22: icmp_seq=506 ttl=63 time=100 ms
64 bytes from 10.0.2.22: icmp_seq=507 ttl=63 time=95.8 ms
64 bytes from 10.0.2.22: icmp_seq=508 ttl=63 time=98.1 ms
